accountCode,Order No.,Date,Crate Code,Item Code,Item Name,Item Type,Item Quantity,Loaded Quantity,Unloaded Quantity,Amount To Be Collected,Status
Cust_4215,=("ord_186541045087_test"),"15, Jun 2019 09:27 PM",xjEaKG7Pr5GpEVc,8159586,Item Name - 1 - 063,Item Type - 1 - 063,8.0,0.0,0.0,24.0,PACKED
Cust_4215,=("ord_186541045087_test"),"15, Jun 2019 09:27 PM",xjEaKG7Pr5GpEVc,7343977,Item Name - 2 - 529,Item Type - 2 - 529,1.0,0.0,0.0,8.0,PACKED
Cust_4215,=("ord_186541045087_test"),"15, Jun 2019 09:27 PM",smqEvDBwjvAwk4M,4102626,Item Name - 1 - 591,Item Type - 1 - 591,6.0,0.0,0.0,24.0,PACKED
Cust_4215,=("ord_186541045087_test"),"15, Jun 2019 09:27 PM",smqEvDBwjvAwk4M,5479342,Item Name - 2 - 222,Item Type - 2 - 222,5.0,0.0,0.0,40.0,PACKED
Cust_2206,=("ord_656973455899_test"),"14, Jun 2019 11:40 PM",Dizn9E5cDSKSXGl,8438784,Item Name - 1 - 576,Item Type - 1 - 576,3.0,0.0,0.0,6.0,PACKED
Cust_2206,=("ord_656973455899_test"),"14, Jun 2019 11:40 PM",Dizn9E5cDSKSXGl,1551162,Item Name - 2 - 786,Item Type - 2 - 786,4.0,0.0,0.0,4.0,PACKED
Cust_2206,=("ord_656973455899_test"),"14, Jun 2019 11:40 PM",ccEhXWGnAjhNQlG,1302822,Item Name - 1 - 066,Item Type - 1 - 066,9.0,0.0,0.0,36.0,PACKED
Cust_2206,=("ord_656973455899_test"),"14, Jun 2019 11:40 PM",ccEhXWGnAjhNQlG,9113727,Item Name - 2 - 289,Item Type - 2 - 289,9.0,0.0,0.0,9.0,PACKED
1927879,=("C1927879"),"14, Jun 2019 11:19 PM",CR03413,IT043,Chicken Soup 2X200gm,soup,1.0,1.0,1.0,500.0,UNLOADED
Cust_9854,=("ord_784510628169_test"),"14, Jun 2019 11:06 PM",MIkYwbS5UPApeYl,7682557,Item Name - 1 - 091,Item Type - 1 - 091,9.0,0.0,0.0,36.0,PACKED
Cust_9854,=("ord_784510628169_test"),"14, Jun 2019 11:06 PM",MIkYwbS5UPApeYl,2560413,Item Name - 2 - 299,Item Type - 2 - 299,8.0,0.0,0.0,56.0,PACKED
Cust_9854,=("ord_784510628169_test"),"14, Jun 2019 11:06 PM",uWhkhmtZ3vVRgcK,5952642,Item Name - 1 - 286,Item Type - 1 - 286,7.0,0.0,0.0,63.0,PACKED
Cust_9854,=("ord_784510628169_test"),"14, Jun 2019 11:06 PM",uWhkhmtZ3vVRgcK,8981663,Item Name - 2 - 118,Item Type - 2 - 118,4.0,0.0,0.0,12.0,PACKED
Cust_7415,=("ord_784510628169_test"),"14, Jun 2019 10:58 PM",MIkYwbS5UPApeYl,7682557,Item Name - 1 - 091,Item Type - 1 - 091,9.0,9.0,9.0,36.0,UNLOADED
Cust_7415,=("ord_784510628169_test"),"14, Jun 2019 10:58 PM",MIkYwbS5UPApeYl,2560413,Item Name - 2 - 299,Item Type - 2 - 299,8.0,8.0,8.0,56.0,UNLOADED
Cust_7415,=("ord_784510628169_test"),"14, Jun 2019 10:58 PM",uWhkhmtZ3vVRgcK,5952642,Item Name - 1 - 286,Item Type - 1 - 286,7.0,7.0,7.0,63.0,UNLOADED
Cust_7415,=("ord_784510628169_test"),"14, Jun 2019 10:58 PM",uWhkhmtZ3vVRgcK,8981663,Item Name - 2 - 118,Item Type - 2 - 118,4.0,4.0,4.0,12.0,UNLOADED
Cust_6409,=("ord_713569439672_test"),"13, Jun 2019 01:57 PM",vq54VRqxPSblsWd,5424322,Item Name - 1 - 204,Item Type - 1 - 204,7.0,0.0,0.0,49.0,PACKED
Cust_6409,=("ord_713569439672_test"),"13, Jun 2019 01:57 PM",vq54VRqxPSblsWd,8233848,Item Name - 2 - 760,Item Type - 2 - 760,4.0,0.0,0.0,32.0,PACKED
